N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
173,세방전지,"89,800",700,-0.77%,500,"12,572","14,000",26.56,"417,531",17.01,7.70,
174,KODEX 코스닥150 레버리지,"17,135",205,+1.21%,0,"12,457","72,700",2.26,"24,461,616",N/A,N/A,
175,DGB금융지주,"7,230",30,+0.42%,"5,000","12,229","169,146",47.01,"1,101,394",3.69,7.31,
176,SK디스커버리,"63,300","1,300",-2.01%,"5,000","12,051","19,038",9.63,"267,188",4.16,11.52,
177,대한전선,"1,400",5,+0.36%,500,"11,991","856,473",1.98,"9,084,102",-77.78,-3.99,
178,신세계인터내셔날,"166,000","4,000",+2.47%,"5,000","11,852","7,140",4.96,"127,484",26.29,12.98,
179,코오롱인더,"43,900","1,700",+4.03%,"5,000","11,844","26,979",15.51,"760,355",7.86,1.58,
180,더블유게임즈,"64,400",800,+1.26%,500,"11,833","18,375",14.44,"243,330",11.04,18.93,
181,일양약품,"62,000",600,-0.96%,"2,500","11,833","19,086",7.85,"326,196",114.60,5.20,
182,한국콜마,"50,600","1,000",-1.94%,500,"11,578","22,881",27.34,"420,595",36.40,6.39,
183,JB금융지주,"5,710",30,+0.53%,"5,000","11,248","196,983",38.93,"632,398",3.25,10.36,
184,LG전자우,"65,000","2,500",-3.70%,"5,000","11,171","17,186",37.99,"1,587,306",14.12,N/A,
185,금호타이어,"3,880",0,0.00%,"5,000","11,146","287,260",4.46,"955,314",-11.12,-3.30,
186,후성,"12,000",200,-1.64%,500,"11,113","92,607",4.38,"4,065,450",-218.18,3.85,
187,휴켐스,"26,000",100,-0.38%,"1,000","10,628","40,879",8.55,"515,562",22.05,10.82,
188,LG상사,"27,250",50,+0.18%,"5,000","10,562","38,760",22.25,"720,243",7.43,2.49,
189,영풍,"573,000",0,0.00%,"5,000","10,555","1,842",4.69,"4,238",5.69,7.40,
190,롯데관광개발,"15,100",50,+0.33%,500,"10,461","69,276",4.80,"532,760",-22.17,-4.77,
191,티와이홀딩스,"27,850",650,+2.39%,500,"10,444","37,501",7.51,"408,806",N/A,N/A,
192,다우기술,"22,950",100,-0.43%,500,"10,297","44,867",22.57,"478,904",3.69,14.62,
193,SK가스,"111,500","2,000",-1.76%,"5,000","10,292","9,230",9.36,"44,833",2.61,9.85,
194,파미셀,"17,000",400,-2.30%,500,"10,193","59,959",7.75,"1,378,886",147.83,8.78,
195,GKL,"16,250",50,+0.31%,500,"10,052","61,856",5.93,"479,559",-75.58,12.62,
196,유나이티드제약,"61,100","6,500",-9.62%,500,"9,926","16,245",5.17,"1,478,006",32.99,12.79,
197,효성티앤씨,"226,500","2,500",+1.12%,"5,000","9,802","4,328",18.29,"66,898",11.50,20.86,
198,롯데칠성,"109,000",500,+0.46%,500,"9,783","8,975",10.91,"64,521",-11.18,-11.68,
199,코스맥스,"96,200","1,600",-1.64%,500,"9,668","10,050",24.58,"182,160",23.81,10.45,
200,대상,"27,850",850,+3.15%,"1,000","9,649","34,648",16.21,"969,883",6.66,11.17,
